Date,t,Quelle_temp,Time_temp,eco2,Quelle_co2,Time_co2
2021-02-28,34.095,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:00,2476.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:43
2021-02-26,10.501,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:45,7504.25,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:45
2021-02-23,4.402,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:28,7671.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:24
2021-02-23,4.402,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:28,7263.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",17:00:24
2021-02-23,4.402,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:28,6746.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",15:00:08
2021-02-23,4.402,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:28,10842.45,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:28
2021-02-23,4.402,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:28,10287.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:29
2021-02-23,5.399,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:29,7671.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:24
2021-02-23,5.399,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:29,7263.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",17:00:24
2021-02-23,5.399,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:29,6746.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",15:00:08
2021-02-23,5.399,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:29,10842.45,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:28
2021-02-23,5.399,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:29,10287.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:29
2021-02-20,41.475,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:18,7782.65,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:06
2021-02-19,76.945,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:33,9760.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:36
